funding_amount_m,team_size,years_active,market_size_m,num_competitors,revenue_year1_m,burn_rate_m,customer_count,product_score,marketing_spend_m,industry,funding_stage,future_revenue_m,success
1.11,41,1.0,1269.6,50,0.14,0.029,707,2,0.18,Logistics,Pre-Seed,7.89,0
6.18,114,8.6,2095.8,21,1.88,0.193,2466,9,0.46,FinTech,Pre-Seed,22.86,1
1.54,109,11.1,213.9,69,0.41,0.047,3141,10,0.09,SaaS,Series A,12.04,1
1.15,84,2.6,407.7,48,0.42,0.04,2054,7,0.07,Cybersecurity,Series A,7.05,1
2.74,43,7.0,132.3,20,0.95,0.108,497,10,0.59,HealthTech,Series C,8.07,1
0.53,42,11.0,3912.5,67,0.08,0.009,493,7,0.04,EdTech,Series C,16.62,1
5.67,102,0.9,2093.8,44,0.83,0.172,1988,6,0.33,E-Commerce,Seed,15.7,0
0.27,7,8.5,621.1,33,0.11,0.012,61,3,0.04,HealthTech,Seed,3.49,0
15.17,53,3.9,1476.3,73,3.56,0.419,2755,10,3.32,Cybersecurity,Pre-Seed,23.94,0
5.18,27,11.1,588.8,61,1.9,0.103,716,3,0.53,FinTech,Series A,11.11,0
0.78,65,11.7,781.7,9,0.08,0.028,1688,2,0.1,FinTech,Pre-Seed,6.72,0
0.1,99,11.4,74.7,68,0.03,0.004,2960,6,0.01,CleanTech,Pre-Seed,7.31,1
5.91,60,6.0,1126.1,35,1.97,0.065,3282,4,0.83,Logistics,Series A,13.4,1
4.29,57,10.4,109.3,65,1.64,0.175,4006,5,0.71,Cybersecurity,Seed,11.44,1
4.57,60,10.2,1399.3,8,0.77,0.195,3715,3,0.75,FinTech,Series A,11.29,1
5.16,110,4.2,1218.7,45,1.57,0.142,6552,6,0.6,CleanTech,Series B,15.63,0
0.27,71,10.0,986.8,47,0.06,0.013,2934,3,0.03,CleanTech,Series B,8.95,0
1.55,102,0.9,29.5,40,0.11,0.064,5817,8,0.11,CleanTech,Series B,8.79,1
0.43,34,7.4,288.9,76,0.13,0.017,1579,9,0.05,HealthTech,Series C,5.14,0
6.96,54,3.1,244.3,54,2.03,0.275,1145,4,0.49,CleanTech,Seed,10.36,0
3.42,23,1.9,357.2,76,1.28,0.05,474,9,0.7,SaaS,Seed,8.27,0
1.41,22,1.4,73.4,46,0.32,0.025,599,7,0.34,Cybersecurity,Series C,4.84,0
0.23,71,8.5,2211.2,47,0.03,0.006,5205,3,0.06,SaaS,Pre-Seed,12.04,0
1.3,71,4.4,645.6,15,0.09,0.025,3269,7,0.29,E-Commerce,Series B,7.26,1
1.38,113,8.8,291.7,19,0.27,0.035,6784,1,0.23,FinTech,Series B,8.05,0
4.58,5,1.3,404.6,26,0.71,0.208,154,3,0.87,Logistics,Pre-Seed,4.17,0
3.55,95,4.1,474.2,52,1.12,0.152,3379,6,0.38,CleanTech,Series A,11.46,1
7.64,76,6.7,734.2,22,1.33,0.264,1095,4,1.35,EdTech,Series A,9.99,1
2.24,63,9.6,580.0,21,0.86,0.099,1124,7,0.32,EdTech,Seed,9.64,0
0.45,63,4.2,2014.5,51,0.17,0.018,4224,3,0.07,FinTech,Series C,9.42,1
4.37,95,7.7,549.7,38,1.17,0.115,4641,1,0.88,E-Commerce,Seed,11.29,1
5.01,96,10.7,3878.6,20,1.88,0.084,2910,9,0.53,EdTech,Series A,24.08,1
2.88,25,7.6,1525.3,29,0.91,0.086,1630,6,0.33,SaaS,Pre-Seed,8.48,1
5.16,56,3.2,187.1,51,1.25,0.201,1315,8,1.21,BioTech,Seed,12.35,0
2.38,10,0.8,2134.2,4,0.27,0.063,782,3,0.15,HealthTech,Series B,8.4,0
2.59,4,10.5,99.0,55,0.55,0.094,123,8,0.38,AI/ML,Series B,5.9,0
1.95,116,0.7,1360.6,71,0.48,0.024,3514,2,0.45,EdTech,Pre-Seed,11.59,0
0.1,32,10.6,383.2,28,0.04,0.004,908,4,0.02,Logistics,Series A,3.47,0
0.4,41,6.6,1682.8,4,0.09,0.017,580,3,0.06,CleanTech,Series B,7.93,1
0.11,102,11.3,1620.3,22,0.04,0.004,1360,10,0.01,Logistics,Series B,13.83,1
3.54,37,9.7,1311.6,76,1.01,0.172,1983,1,0.42,Cybersecurity,Series C,6.02,0
1.32,25,12.0,1248.6,45,0.13,0.056,1765,7,0.29,HealthTech,Seed,6.85,1
2.49,96,4.5,290.7,67,0.99,0.114,6171,10,0.4,SaaS,Series A,12.11,1
8.33,7,9.3,67.5,66,1.95,0.393,109,2,1.27,E-Commerce,Seed,8.28,0
1.0,67,5.1,412.6,34,0.19,0.042,3076,4,0.07,HealthTech,Series A,8.42,1
1.85,85,6.0,152.5,55,0.52,0.067,1098,9,0.1,AI/ML,Series B,8.78,1
4.93,93,7.7,949.8,1,0.43,0.042,780,6,1.2,BioTech,Series C,11.05,1
0.91,76,10.5,339.8,72,0.25,0.025,4121,8,0.11,EdTech,Seed,7.89,1
0.28,5,11.8,2970.9,38,0.06,0.009,225,2,0.05,E-Commerce,Series B,7.19,1
1.2,80,9.3,819.5,6,0.23,0.025,892,7,0.08,E-Commerce,Series A,9.13,1
0.62,7,5.3,1382.9,25,0.24,0.013,53,6,0.12,EdTech,Seed,7.99,1
9.29,119,5.3,113.7,17,2.16,0.449,9428,9,2.2,EdTech,Seed,15.53,1
5.78,114,9.0,1584.5,61,0.73,0.263,826,7,0.95,EdTech,Series B,15.98,1
3.51,95,3.2,2048.6,12,0.74,0.153,3642,1,0.26,EdTech,Seed,10.11,1
7.18,103,1.8,534.1,6,2.67,0.181,4413,8,1.19,EdTech,Series C,17.26,1
5.7,52,4.6,745.6,27,0.64,0.051,717,10,1.16,E-Commerce,Series C,11.1,1
0.72,63,3.8,1157.9,8,0.09,0.008,1113,3,0.09,FinTech,Series B,10.07,0
7.81,58,3.9,153.7,65,0.43,0.167,1820,2,1.76,FinTech,Series A,6.74,0
2.71,67,3.2,558.6,57,0.15,0.024,4162,3,0.49,Logistics,Series B,3.73,1
5.77,80,1.0,406.9,40,1.96,0.052,3442,6,1.33,FinTech,Series C,10.91,1
7.92,76,0.7,126.6,14,2.43,0.368,4016,3,1.38,AI/ML,Pre-Seed,13.07,0
1.34,9,11.9,366.5,35,0.23,0.051,709,10,0.1,FinTech,Pre-Seed,7.13,1
0.41,27,5.4,56.5,48,0.12,0.009,1690,5,0.05,E-Commerce,Seed,4.45,0
0.91,52,4.9,20.9,56,0.17,0.013,1954,6,0.08,EdTech,Seed,5.97,0
1.95,46,8.3,116.2,49,0.75,0.058,1770,8,0.45,CleanTech,Pre-Seed,9.87,0
5.96,45,3.0,2640.0,13,2.32,0.051,2313,7,1.2,CleanTech,Series C,18.06,1
6.9,6,11.4,638.0,61,1.29,0.327,329,8,1.28,AI/ML,Seed,11.01,0
0.1,71,9.5,2700.9,49,0.03,0.003,3021,3,0.01,Cybersecurity,Series B,8.88,1
2.5,27,1.5,453.2,46,0.8,0.063,1440,4,0.22,E-Commerce,Series B,5.3,0
1.89,119,5.3,299.0,62,0.3,0.047,805,6,0.38,SaaS,Series C,7.58,0
0.88,69,10.6,564.4,8,0.12,0.01,2568,7,0.13,HealthTech,Seed,7.74,1
0.45,20,11.4,463.2,43,0.09,0.016,518,9,0.04,Logistics,Series B,5.97,0
1.44,85,5.9,89.3,20,0.47,0.056,1248,1,0.25,SaaS,Seed,6.53,1
10.02,98,7.6,819.2,39,3.87,0.366,1221,8,0.58,E-Commerce,Seed,22.11,1
1.37,21,2.4,194.7,49,0.43,0.019,1055,8,0.16,FinTech,Series B,4.77,0
2.56,114,11.9,773.2,64,0.89,0.083,5046,6,0.37,EdTech,Pre-Seed,12.5,1
4.25,13,3.2,840.3,62,1.11,0.136,312,4,0.34,SaaS,Series B,5.8,0
1.58,48,11.3,131.9,54,0.54,0.07,1935,3,0.39,HealthTech,Series C,7.65,0
12.49,2,8.0,50.6,9,4.05,0.301,83,3,1.15,Cybersecurity,Series A,14.24,0
11.49,91,7.5,1214.1,37,2.09,0.274,1785,6,0.87,CleanTech,Series B,17.25,1
1.02,15,6.4,492.7,49,0.25,0.035,808,8,0.09,Cybersecurity,Seed,8.38,0
2.41,65,3.2,47.9,41,0.8,0.084,4131,7,0.49,HealthTech,Seed,6.86,1
1.25,39,2.5,4217.5,17,0.08,0.035,2510,1,0.17,EdTech,Series B,11.29,1
1.17,38,3.0,47.6,21,0.39,0.031,1907,6,0.19,FinTech,Series A,4.03,0
0.13,12,2.6,950.0,51,0.01,0.004,520,7,0.01,HealthTech,Series B,5.63,0
3.29,101,9.5,3292.2,59,0.76,0.145,967,7,0.19,Logistics,Series A,19.0,1
2.44,78,4.5,218.7,39,0.81,0.067,2073,9,0.34,HealthTech,Series A,11.76,1
0.18,108,1.2,122.8,55,0.02,0.009,1295,10,0.04,E-Commerce,Series C,13.64,1
1.14,4,11.6,103.5,41,0.16,0.033,309,5,0.26,FinTech,Seed,0.01,0
8.36,34,10.7,289.1,39,1.6,0.4,514,1,0.56,EdTech,Seed,9.41,0
0.96,7,11.2,85.2,13,0.35,0.041,114,2,0.15,CleanTech,Series A,1.6,0
0.55,51,11.9,942.5,64,0.03,0.013,3657,4,0.13,CleanTech,Seed,5.75,0
2.35,11,2.5,51.5,11,0.86,0.104,833,5,0.3,HealthTech,Pre-Seed,4.39,0
14.85,6,5.1,569.7,19,1.54,0.192,374,9,3.21,E-Commerce,Series A,11.83,1
0.97,24,9.2,4570.3,11,0.38,0.045,129,1,0.07,SaaS,Seed,16.25,0
3.9,11,8.5,1345.5,77,1.5,0.135,56,3,0.92,Cybersecurity,Pre-Seed,10.89,0
5.02,45,2.3,764.1,46,1.12,0.053,1501,5,1.01,Cybersecurity,Series C,10.32,0
0.95,3,9.9,292.5,45,0.22,0.033,47,3,0.23,Cybersecurity,Seed,4.85,0
4.56,14,3.1,782.3,1,1.0,0.223,89,4,0.85,SaaS,Pre-Seed,5.33,0
1.6,41,3.1,599.0,40,0.44,0.018,1632,3,0.2,E-Commerce,Series B,4.24,0
3.5,3,6.7,444.2,19,0.29,0.11,227,4,0.83,Cybersecurity,Series B,1.1,0
3.51,85,7.3,112.1,76,0.22,0.139,2489,1,0.37,Logistics,Pre-Seed,5.19,0
2.69,66,7.2,1741.5,72,0.19,0.113,3602,8,0.31,SaaS,Series A,11.98,1
0.33,64,1.6,478.0,72,0.07,0.008,3450,4,0.06,SaaS,Series A,6.36,0
6.31,102,10.6,173.2,61,0.92,0.106,2430,7,1.28,EdTech,Seed,12.52,1
1.35,74,3.6,366.8,12,0.36,0.014,3979,2,0.32,EdTech,Series B,4.54,0
0.72,18,2.0,427.7,61,0.29,0.023,376,2,0.07,FinTech,Series A,4.83,0
0.15,10,10.7,1406.1,33,0.03,0.004,141,6,0.03,Logistics,Series A,6.75,1
3.13,76,11.5,1058.2,45,0.79,0.15,4377,2,0.62,Logistics,Series B,10.85,1
3.96,16,10.4,1173.3,69,0.77,0.043,216,6,0.25,FinTech,Series C,6.2,0
0.1,25,9.8,10.0,8,0.03,0.004,1994,2,0.01,Logistics,Series A,2.64,1
2.51,39,8.0,430.5,25,0.92,0.024,731,4,0.27,AI/ML,Pre-Seed,5.81,0
0.9,36,6.8,525.2,46,0.32,0.014,1784,7,0.1,BioTech,Seed,6.31,1
3.63,95,1.5,15.5,30,1.42,0.099,3406,8,0.9,Cybersecurity,Series A,13.23,1
0.67,96,5.2,240.7,47,0.04,0.018,1389,3,0.12,EdTech,Series A,6.98,0
4.11,50,4.8,1142.7,49,1.41,0.152,354,9,0.8,FinTech,Series C,12.02,0
1.71,70,3.5,118.0,47,0.54,0.079,3619,2,0.42,FinTech,Pre-Seed,6.3,0
9.66,63,8.8,613.1,18,1.26,0.338,4126,8,1.21,Logistics,Seed,10.9,1
0.52,61,6.2,193.9,66,0.2,0.025,4157,8,0.11,SaaS,Series A,9.05,0
1.46,109,1.4,10.0,68,0.15,0.066,4491,4,0.2,CleanTech,Seed,7.45,0
0.42,51,3.0,220.8,33,0.12,0.014,3228,1,0.09,HealthTech,Series B,5.56,0
9.05,79,8.4,2979.6,36,1.16,0.39,4381,1,0.78,HealthTech,Series A,15.55,0
7.34,118,1.4,1293.7,19,1.48,0.258,6999,2,1.76,FinTech,Series A,14.41,1
1.04,76,10.3,2566.7,28,0.31,0.012,3187,9,0.1,Cybersecurity,Series B,13.48,1
3.78,10,6.2,535.3,40,0.93,0.148,525,2,0.44,AI/ML,Series C,7.06,0
5.95,35,6.0,93.0,76,1.19,0.073,2289,2,1.2,Cybersecurity,Series A,6.32,0
2.84,77,7.3,635.2,15,0.47,0.094,2682,6,0.37,FinTech,Seed,10.58,1
2.64,100,10.0,484.7,41,0.91,0.099,6544,7,0.45,Cybersecurity,Pre-Seed,11.26,1
0.97,36,4.5,1488.2,39,0.1,0.011,1778,7,0.13,EdTech,Seed,5.73,0
0.34,2,8.3,82.6,2,0.07,0.006,34,9,0.07,Cybersecurity,Series C,3.31,1
7.96,41,7.0,535.9,63,2.92,0.37,280,6,0.76,Logistics,Pre-Seed,12.92,1
8.07,65,3.6,130.1,29,2.79,0.274,2093,8,0.5,Logistics,Seed,15.66,1
3.51,23,10.6,314.1,74,0.67,0.065,1058,6,0.39,AI/ML,Seed,5.12,1
1.45,61,9.7,1069.6,66,0.46,0.054,4147,2,0.21,EdTech,Series B,9.28,1
1.5,65,8.1,517.0,51,0.51,0.05,946,1,0.13,CleanTech,Series C,6.38,0
4.53,94,10.3,377.1,75,1.64,0.132,6111,5,0.55,SaaS,Series B,12.53,1
7.96,73,10.5,401.3,77,1.91,0.39,5089,9,1.03,EdTech,Pre-Seed,15.58,1
7.63,12,8.6,492.1,10,0.93,0.281,195,8,0.47,E-Commerce,Series B,10.48,1
5.3,106,10.1,1229.8,14,0.74,0.127,7300,4,0.88,BioTech,Series C,13.01,1
3.6,102,8.5,1781.1,51,0.55,0.15,8094,5,0.82,FinTech,Series A,12.37,1
0.31,15,8.3,2486.8,73,0.08,0.014,892,5,0.02,E-Commerce,Series A,6.32,0
0.62,61,7.6,1236.8,39,0.04,0.008,3895,6,0.11,AI/ML,Pre-Seed,7.66,1
8.01,31,9.2,303.1,28,2.18,0.134,2467,3,1.47,E-Commerce,Series A,10.14,1
3.26,36,2.3,932.1,3,0.58,0.057,1814,5,0.44,Logistics,Series B,8.51,0
0.1,86,10.6,460.4,70,0.02,0.004,2415,2,0.02,Cybersecurity,Pre-Seed,5.76,0
0.37,38,10.5,235.1,27,0.13,0.012,2576,10,0.05,SaaS,Series C,7.91,1
3.81,6,0.8,1470.4,2,0.8,0.13,306,1,0.58,HealthTech,Pre-Seed,6.19,1
0.1,84,10.0,31.3,38,0.01,0.005,4081,1,0.01,FinTech,Pre-Seed,4.63,0
0.61,79,2.0,1856.3,3,0.21,0.025,1897,10,0.11,HealthTech,Seed,14.84,1
2.78,27,4.4,495.1,16,0.19,0.038,1666,7,0.51,Cybersecurity,Seed,7.08,1
4.12,63,9.1,811.1,40,1.25,0.094,700,2,0.24,Logistics,Pre-Seed,9.98,0
3.69,5,2.3,861.5,2,1.18,0.098,371,4,0.46,Logistics,Series A,6.88,0
0.89,90,9.9,1803.9,41,0.15,0.022,2649,5,0.22,Cybersecurity,Seed,10.48,1
4.36,110,10.1,810.0,12,1.48,0.158,1604,7,0.58,FinTech,Series C,13.66,1
0.95,43,6.3,761.4,35,0.22,0.043,1641,2,0.14,HealthTech,Series B,4.71,1
1.38,90,0.6,55.2,65,0.29,0.029,736,6,0.32,EdTech,Seed,9.25,0
4.8,19,3.8,584.5,55,0.32,0.15,1070,1,0.93,Logistics,Pre-Seed,4.36,0
3.67,41,7.6,130.2,45,0.56,0.151,2980,7,0.61,HealthTech,Series A,5.34,0
6.62,73,11.8,1069.8,79,2.49,0.17,4949,9,1.39,CleanTech,Series B,20.34,1
3.75,40,7.8,574.3,62,0.7,0.058,582,5,0.84,HealthTech,Seed,8.62,0
2.94,105,3.5,912.1,49,0.71,0.083,1519,5,0.42,CleanTech,Series A,9.82,0
0.34,15,7.8,34.1,25,0.08,0.004,990,4,0.05,CleanTech,Series A,2.06,0
1.6,33,6.7,70.9,23,0.41,0.076,2452,3,0.2,Logistics,Series A,4.54,0
1.08,52,9.5,1007.9,24,0.08,0.012,2056,9,0.26,FinTech,Pre-Seed,11.68,1
0.98,39,1.7,59.9,38,0.17,0.026,1654,5,0.19,AI/ML,Series C,3.1,0
12.64,98,9.3,59.1,28,3.83,0.384,2829,8,0.84,Logistics,Series A,22.3,1
1.75,24,6.7,10.0,21,0.21,0.086,1729,9,0.39,FinTech,Series B,7.8,0
7.79,64,11.6,2508.0,54,0.94,0.119,3415,5,1.14,FinTech,Seed,14.73,1
3.49,16,4.4,1070.0,18,0.19,0.046,425,10,0.22,E-Commerce,Series B,8.38,0
5.54,98,7.8,348.6,36,1.13,0.048,2686,9,0.89,Cybersecurity,Pre-Seed,12.17,1
2.44,26,11.2,281.4,45,0.88,0.036,1867,2,0.33,Cybersecurity,Pre-Seed,5.33,1
3.01,18,1.7,344.3,73,0.21,0.051,108,9,0.68,Cybersecurity,Series B,6.6,1
2.37,98,11.3,1192.1,53,0.28,0.082,2862,4,0.22,BioTech,Series C,11.6,1
0.76,112,8.4,866.3,30,0.12,0.013,5216,6,0.16,Logistics,Pre-Seed,12.22,1
4.49,67,1.3,163.8,60,1.37,0.041,1079,6,0.73,FinTech,Pre-Seed,9.71,0
1.15,79,4.0,153.0,32,0.32,0.049,940,6,0.07,E-Commerce,Series B,4.81,0
0.1,54,8.6,82.9,67,0.02,0.002,3571,2,0.02,CleanTech,Pre-Seed,3.74,0
3.63,105,1.3,863.8,67,1.15,0.084,7568,7,0.55,AI/ML,Series C,14.36,1
0.68,105,7.2,1156.4,28,0.18,0.014,7010,6,0.07,AI/ML,Series C,11.43,1
9.87,52,4.5,246.4,44,3.59,0.483,3765,1,1.42,CleanTech,Series C,14.07,0
10.77,40,7.6,16.9,79,3.62,0.166,1859,2,2.39,HealthTech,Seed,14.98,0
8.62,52,1.0,68.6,41,1.19,0.394,3427,7,0.96,HealthTech,Series C,12.61,1
1.62,71,10.5,2750.1,63,0.23,0.066,2400,1,0.14,Cybersecurity,Series C,12.05,0
0.1,7,11.7,280.2,23,0.01,0.001,384,1,0.01,Logistics,Seed,0.92,0
9.22,68,11.6,1173.0,75,1.55,0.456,5383,1,1.01,BioTech,Series A,11.59,0
1.96,8,9.1,783.9,48,0.78,0.038,175,8,0.4,E-Commerce,Pre-Seed,7.69,0
11.9,52,2.0,384.9,32,2.28,0.148,1780,4,1.72,AI/ML,Series C,16.55,1
11.6,73,9.2,184.2,57,1.48,0.498,2993,4,1.11,Cybersecurity,Pre-Seed,11.6,0
6.71,43,0.8,103.5,33,2.13,0.253,660,2,0.56,SaaS,Series B,10.0,0
1.22,65,0.8,763.6,24,0.29,0.042,720,1,0.14,Cybersecurity,Pre-Seed,5.77,0
1.7,117,4.2,1192.0,39,0.17,0.025,7865,10,0.4,SaaS,Seed,15.24,1
6.67,16,6.1,826.0,34,1.22,0.189,1252,9,0.79,EdTech,Pre-Seed,14.0,1
1.33,112,9.4,604.5,56,0.26,0.054,3959,7,0.33,FinTech,Pre-Seed,11.47,1
0.65,30,8.4,34.3,28,0.2,0.014,347,4,0.1,CleanTech,Pre-Seed,3.97,0
2.85,34,5.6,2765.9,37,0.16,0.061,337,6,0.24,FinTech,Series A,11.93,1
9.63,117,3.6,1282.4,7,1.39,0.082,8406,2,2.2,Cybersecurity,Series A,12.35,1
4.17,95,12.0,277.2,68,0.96,0.065,3779,7,0.59,FinTech,Series B,12.85,1
2.95,104,5.4,3128.4,37,0.43,0.132,3016,2,0.57,E-Commerce,Seed,15.41,1
0.36,28,5.7,736.8,56,0.1,0.01,1140,10,0.09,EdTech,Pre-Seed,8.15,0
3.34,37,2.4,698.6,65,0.73,0.165,1068,8,0.2,BioTech,Pre-Seed,8.16,0
16.14,30,9.6,1102.9,65,2.85,0.401,1250,8,1.12,EdTech,Pre-Seed,17.94,1
0.53,39,8.5,1336.1,47,0.2,0.02,2709,1,0.1,AI/ML,Pre-Seed,5.56,1
2.56,58,3.0,854.8,20,0.69,0.051,2866,8,0.27,E-Commerce,Series A,12.07,0
7.35,98,1.4,109.7,19,0.7,0.173,5595,2,0.64,FinTech,Series B,9.0,1
4.73,102,8.3,330.3,29,1.16,0.077,3299,6,0.27,BioTech,Series C,15.58,1
4.18,28,8.0,2105.8,74,1.35,0.095,1690,1,0.23,FinTech,Seed,11.94,0
4.24,56,3.6,203.5,60,1.26,0.132,3079,5,0.87,Logistics,Pre-Seed,7.53,0
1.56,34,11.4,372.4,18,0.17,0.077,474,7,0.12,Logistics,Series B,5.94,1
1.22,69,2.2,452.6,35,0.48,0.044,3308,10,0.18,HealthTech,Series C,9.04,0
5.8,87,5.5,463.0,43,1.2,0.096,2110,1,0.99,EdTech,Series B,7.12,0
5.81,67,11.4,759.3,11,0.61,0.059,4375,2,0.79,BioTech,Series A,11.52,1
7.06,11,5.3,2292.8,49,0.8,0.096,406,7,0.39,Logistics,Series C,13.83,1
8.56,6,7.8,220.3,38,0.72,0.272,477,6,1.77,HealthTech,Series B,7.85,1
2.51,75,5.1,103.6,64,0.83,0.101,895,3,0.13,E-Commerce,Series A,8.07,0
2.44,98,3.7,176.0,69,0.23,0.116,6225,10,0.49,BioTech,Series B,8.32,1
5.6,119,11.8,1743.8,8,0.53,0.05,6607,2,1.28,HealthTech,Series B,13.11,1
3.67,39,5.2,830.3,34,1.28,0.111,2439,10,0.5,CleanTech,Series C,13.28,1
4.24,14,10.8,269.4,48,0.72,0.119,392,4,0.67,BioTech,Series A,4.2,1
